WEO Country Group Code,WEO Subject Code,Country Group Name,Subject Descriptor,Subject Notes,Units,Scale,Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
1,NGDP_RPCH,World,"Gross domestic product, constant prices",,Percent change,,,2.067,1.865,0.568,2.773,4.546,3.624,3.66,3.938,4.636,3.796,3.439,2.62,2.272,2.083,3.252,3.33,3.849,3.969,2.606,3.581,4.816,2.475,2.977,4.275,5.418,4.906,5.461,5.56,3.026,-0.073,5.415,4.281,3.51,3.493,3.59,3.48,3.434,3.87,3.579,2.898,-3.029,5.796,
1,PPPGDP,World,"Gross domestic product, current prices",,Purchasing power parity; international dollars,Billions,,"13,296.10","14,798.69","15,761.14","16,795.72","18,162.55","19,403.92","20,489.55","21,805.25","23,586.86","25,411.61","27,439.25","29,048.21","33,093.41","34,548.99","36,327.69","38,438.72","40,615.06","42,967.78","44,660.54","46,878.18","50,224.15","52,569.99","54,948.86","58,244.68","62,964.07","68,044.92","73,848.92","79,928.60","83,835.85","84,159.12","89,646.79","95,270.29","100,154.94","105,367.70","111,065.56","115,998.69","121,089.82","128,046.90","135,762.14","142,005.65","138,352.38","149,128.01",
1,NGDPRPPPPCPCH,World,"Gross domestic product per capita, constant prices",,Purchasing power parity; percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PCPIPCH,World,"Inflation, average consumer prices",,Percent change,,,17.448,15.211,14.321,13.517,14.16,13.889,11.935,14.724,19.822,23.238,26.679,17.387,39.904,40.48,31.911,16.328,9.367,6.538,6.34,6.273,4.843,4.589,3.664,3.91,3.802,4.05,4.041,4.303,6.326,2.769,3.739,5.078,4.074,3.664,3.227,2.766,2.772,3.204,3.616,3.559,2.991,3.289,
1,PCPIEPCH,World,"Inflation, end of period consumer prices",,Percent change,,,n/a,n/a,n/a,n/a,n/a,16.671,9.795,18.437,23.37,24.764,25.527,19.195,43.584,43.077,26.079,12.723,7.922,5.964,7.292,5.115,4.861,3.919,4.09,3.661,4.093,3.991,3.926,5.304,4.708,3.139,4.338,4.759,3.992,3.298,2.907,2.852,3.03,3.284,3.616,3.85,2.511,3.395,
1,LUR,World,Unemployment rate,,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGXCNL_NGDP,World,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BCA_NGDPD,World,Current account balance,,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PALLFNFW,World,Commodity Price Index includes both Fuel and Non-Fuel Price Indices,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,51.169,49.801,52.109,55.798,59.59,56.123,47.306,47.983,60.391,56.192,55.851,65.697,79.176,97.703,114.183,129.096,163.128,116.866,146.115,182.473,174.418,168.792,159.123,108.279,100,113.545,128.194,117.563,96.429,98.909,
1,PNFUELW,World,Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.141,52.995,58.621,62.642,63.068,59.457,54.194,49.398,51.055,48.941,50.913,57.086,65.603,70.786,86.428,101.221,113.588,97.877,122.851,147.304,136.137,128.185,121.081,100.372,100,106.371,107.8,108.67,107.468,106.822,
1,PINDUW,World,Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54.517,52.545,60.494,69.972,63.385,61.154,49.653,49.821,55.141,48.655,48.886,56.868,72.089,83.984,121.256,144.608,134.613,114.228,169.835,195.611,159.538,153.145,136.114,104.016,100,117.369,123.762,125.561,109.045,104.254,
1,POILAPSP,World,"Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel","The APSP denotes an equally weighted average of three crude oil spot prices?West Texas Intermediate (?WTI?), Dated Brent (?Brent?), and Dubai Fateh (?Dubai?). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the ?headline? oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.",U.S. dollars,Units,,35.707,34.038,31.544,29.469,28.546,27.371,14.172,18.198,14.769,17.906,22.985,19.368,19.036,16.787,15.948,17.204,20.373,19.268,13.074,17.981,28.234,24.331,24.95,28.903,37.717,53.36,64.275,71.161,96.965,61.766,79.035,104.052,105.007,104.069,96.247,50.793,42.837,52.814,68.329,61.391,35.611,37.871,
1,POILBRE,World,"Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel",,U.S. dollars,Units,,37.892,36.676,33.418,29.783,28.743,27.611,14.433,18.436,14.975,18.248,23.711,19.982,19.414,16.998,15.826,17.056,20.453,19.116,12.719,17.699,28.308,24.412,24.998,28.845,38.281,54.433,65.376,72.731,97.569,61.865,79.635,111.082,111.96,108.844,98.943,52.399,44.048,54.401,71.071,64.032,36.904,39.454,
1,POILDUB,World,"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",,U.S. dollars,Units,,35.846,34.294,31.757,28.468,27.509,26.508,13.056,16.964,13.36,15.781,20.73,16.607,17.138,14.906,14.832,16.128,18.537,18.102,12.09,17.076,26.085,22.71,23.734,26.732,33.44,49.192,61.412,68.405,93.713,61.729,78.064,106.027,108.919,105.43,96.664,51.232,41.236,53.116,69.13,63.147,36.997,39.153,
1,POILWTI,World,"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",,U.S. dollars,Units,,37.879,36.168,32.67,30.604,29.388,27.992,15.024,19.193,15.972,19.692,24.518,21.512,20.555,18.455,17.183,18.432,22.132,20.585,14.416,19.166,30.315,25.869,26.116,31.133,41.429,56.455,66.036,72.347,99.612,61.702,79.405,95.046,94.143,97.934,93.135,48.748,43.226,50.924,64.785,56.995,32.933,35.007,
1,PNRGW,World,"Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48.316,45.18,42.688,45.897,54.558,51.299,37.343,45.935,73.896,66.679,62.994,78.152,98.809,136.638,154.329,169.418,234.787,144.334,179.764,233.343,229.791,227.529,214.151,119.717,100,123.923,157.694,130.426,80.462,87.462,
