,gdp_2018,gdp_2019,gdp_2020,gdp_2021,fch_gdp_2020,fch_gdp_2021,fb_2018,fb_2019,fb_2020,fb_2021,fch_fb_2020,fch_fb_2021,gd_2018,gd_2019,gd_2020,gd_2021,fch_gd_2020,fch_gd_2021
Argentina,-2.5,-2.2,-9.9,3.9,-4.2,-0.5,,,,,,,,,,,,
Australia,2.8,1.8,-4.5,4,2.2,-2.1,-1.2,-3.9,-8.6,-8.4,1.1,-1,41.5,45,56.8,64.3,-2.5,0.3
Brazil,1.3,1.1,-9.1,3.6,-3.8,0.7,-7.2,-6,-16,-5.9,-6.6,0.2,87.1,89.5,102.3,100.6,4.1,2.4
Canada,2,1.7,-8.4,4.9,-2.2,0.7,-0.4,-0.3,-12.6,-5.8,-0.8,-1.9,89.7,88.6,109.3,108.8,-0.3,0.3
China,6.7,6.1,1,8.2,-0.2,-1,-4.7,-6.3,-12.1,-10.7,-0.9,-1.1,47,52,64.1,70.7,-0.8,0.6
Egypt,5.3,5.6,2,2,0,-0.8,,,,,,,,,,,,
France,1.8,1.5,-12.5,7.3,-5.3,2.8,-2.3,-3,-13.6,-7.1,-4.5,-0.8,98.1,98.1,125.7,123.8,10.2,7.4
Germany,1.5,0.6,-7.8,5.4,-0.8,0.2,1.9,1.5,-10.7,-3.1,-5.2,-1.9,61.9,59.8,77.2,75,8.6,9.3
India,6.1,4.2,-4.5,6,-6.4,-1.4,-6.3,-7.9,-12.1,-9.4,-4.6,-2.1,69.6,72.2,84,85.7,9.6,11.9
Indonesia,5.2,5,-0.3,6.1,-0.8,-2.1,-1.8,-2.2,-6.3,-5,-1.3,-1,30.1,30.5,37.7,40.3,0.8,2.8
Iran,-5.4,-7.6,-6,3.1,0,0,,,,,,,,,,,,
Italy,0.8,0.3,-12.8,6.3,-3.7,1.5,-2.2,-1.6,-12.7,-7,-4.4,-3.5,134.8,134.8,166.1,161.9,10.6,11.4
Japan,0.3,0.7,-5.8,2.4,-0.6,-0.6,-2.5,-3.3,-14.7,-6.1,-7.6,-4.1,236.6,238,268,265.4,16,17.8
Kazakhstan,4.1,4.5,-2.7,3,-0.2,-1.1,,,,,,,,,,,,
Korea,2.9,2,-2.1,3,-0.9,-0.4,2.6,0.4,-3.6,-2.4,-1.7,-0.8,40,41.9,49.5,53.4,3.2,4.3
Malaysia,4.7,4.3,-3.8,6.3,-2.1,-2.7,,,,,,,,,,,,
Mexico,2.2,-0.3,-10.5,3.3,-3.9,0.3,-2.2,-2.3,-6,-4,-1.8,-1.8,53.6,53.7,65.9,66.3,4.6,7.3
Netherlands,2.6,1.8,-7.7,5,-0.2,2,,,,,,,,,,,,
Nigeria,1.9,2.2,-5.4,2.6,-2,0.2,-4.3,-5,-7.3,-5.7,-0.9,0.2,27.7,29.1,36.5,36.8,1.2,-0.1
Pakistan,5.5,1.9,-0.4,1,1.1,-1,,,,,,,,,,,,
Philippines,6.3,6,-3.6,6.8,-4.2,-0.8,,,,,,,,,,,,
Poland,5.3,4.1,-4.6,4.2,0,0,,,,,,,,,,,,
Russia,2.5,1.3,-6.6,4.1,-1.1,0.6,2.9,1.9,-5.5,-3.9,-0.6,-0.9,13.5,13.9,18.5,18.8,0.6,1.7
Saudi Arabia,2.4,0.3,-6.8,3.1,-4.5,0.2,-5.9,-4.5,-11.4,-5.6,1.2,3.4,19,22.8,35.2,36.8,1.1,-1.9
South Africa,0.8,0.2,-8,3.5,-2.2,-0.5,-4.1,-6.3,-14.8,-11,-1.5,1.6,56.7,62.2,79.9,84.6,2.5,-1
Spain,2.4,2,-12.8,6.3,-4.8,2,-2.5,-2.8,-13.9,-8.3,-4.4,-1.6,97.6,95.5,123.8,124.1,10.4,9.5
Thailand,4.2,2.4,-7.7,5,-1,-1.1,,,,,,,,,,,,
Turkey,2.8,0.9,-5,5,0,0,-3.7,-5.3,-8.4,-7.5,-0.9,-0.8,30.4,33,40.4,42.2,1.1,1.5
United Kingdom,1.3,1.4,-10.2,6.3,-3.7,2.3,-2.2,-2.1,-12.7,-6.7,-4.4,-1.3,85.7,85.4,101.6,100.5,5.9,4.7
United States,2.9,2.3,-8,4.5,-2.1,-0.2,-5.8,-6.3,-23.8,-12.4,-8.4,-3.7,106.9,108.7,141.4,146.1,10.4,14.2
